"","Player","G","GS","QBrec","Cmp","Att","Cmp%","Yds","TD.x","TD%","Int","Int%","Lng","Y/A","AY/A","Y/C","Y/G","Rate","Sk.x","Sk_Yds","NY/A","ANY/A","Sk%","4QC","GWD","FF","Fmb","FR","FmYds","TD.y","Coll.Comp","Coll.Att","Coll.TD","Coll.Int","Coll.Yds","Coll.Fum","Coll.FumL","Coll.Comp.Pct","games","games_started","Year","Rnd","Pick","Tm","fumb_lost","coll_int_pct","int_pct","fumb_lost_game"
"68","Shaun King",34,24,"14-10-0",415,738,56.2,4566,27,3.7,24,3.3,75,6.2,5.5,11,134.3,73.4,61,419,5.19,4.51,7.6,4,5,0,12,5,-3,0,669,1201,72,34,8695,0,0,55.7,34,24,"1999","2","50","TAM",7,0.0283097418817652,0.033,0.205882352941176
"69","Peyton Manning",266,265,"186-79-0",6125,9380,65.3,71940,539,5.7,251,2.7,86,7.7,7.6,11.7,270.5,96.5,303,1953,7.23,7.17,3.1,43,54,0,77,23,-45,0,863,1381,89,33,11201,0,0,62.5,266,265,"1998","1","1","IND",54,0.0238957277335264,0.027,0.203007518796992
"70","Ryan Leaf",25,21,"36633",317,655,48.4,3666,14,2.1,36,5.5,83,5.6,3.6,11.6,146.6,50,65,377,4.57,2.71,9,2,3,0,24,6,-37,0,473,880,59,24,7433,0,0,53.8,25,21,"1998","1","2","SDG",18,0.0272727272727273,0.055,0.72
"71","Charlie Batch",81,55,"25-30-0",908,1604,56.6,11085,61,3.8,52,3.2,98,6.9,6.2,12.2,136.9,77.2,161,890,5.78,5.14,9.1,9,11,0,24,7,-8,0,579,998,53,31,7592,0,0,58,81,55,"1998","2","60","DET",17,0.031062124248497,0.032,0.209876543209877
"72","Jake Plummer",143,136,"69-67-0",2484,4350,57.1,29253,161,3.7,161,3.7,85,6.7,5.8,11.8,204.6,74.6,284,1735,5.94,5.07,6.1,20,30,0,75,33,-44,0,613,1107,64,34,8626,0,0,55.4,143,136,"1997","2","42","ARI",42,0.030713640469738,0.037,0.293706293706294
"73","Tony Banks",96,78,"35-43-0",1278,2356,54.2,15315,77,3.3,73,3.1,85,6.5,5.8,12,159.5,72.4,227,1432,5.37,4.7,8.8,5,7,0,73,21,-91,0,301,496,20,21,4129,0,0,60.7,96,78,"1996","2","42","STL",52,0.0423387096774194,0.031,0.541666666666667
"74","Kerry Collins",198,180,"81-99-0",3487,6261,55.7,40922,208,3.3,196,3.1,89,6.5,5.8,11.7,206.7,73.8,337,2230,5.86,5.16,5.1,21,30,0,139,34,-219,0,370,657,39,21,5304,0,0,56.3,198,180,"1995","1","5","CAR",105,0.0319634703196347,0.031,0.53030303030303
"75","Todd Collins",50,21,"36840",391,701,55.8,4547,22,3.1,24,3.4,95,6.5,5.6,11.6,90.9,71.8,67,447,5.34,4.51,8.7,3,5,0,19,1,-38,0,457,711,37,20,5858,0,0,64.3,50,21,"1995","2","45","BUF",18,0.0281293952180028,0.034,0.36
"76","Kordell Stewart",125,87,"48-34-0",1316,2358,55.8,14746,77,3.3,84,3.6,90,6.3,5.3,11.2,118,70.7,170,1048,5.42,4.53,6.7,9,14,0,44,17,-46,0,456,785,33,19,6481,0,0,58.1,125,87,"1995","2","60","PIT",27,0.024203821656051,0.036,0.216
"77","Heath Shuler",29,22,"36752",292,593,49.2,3691,15,2.5,33,5.6,89,6.2,4.2,12.6,127.3,54.3,46,291,5.32,3.47,7.2,3,2,0,13,4,-43,0,316,513,36,12,4089,0,0,61.6,29,22,"1994","1","3","WAS",9,0.0233918128654971,0.056,0.310344827586207
"78","Trent Dilfer",130,113,"58-55-0",1759,3172,55.5,20518,113,3.6,129,4.1,83,6.5,5.4,11.7,157.8,70.2,263,1730,5.47,4.44,7.7,14,15,0,82,17,-93,0,511,865,53,22,7631,0,0,59.1,130,113,"1994","1","6","TAM",65,0.0254335260115607,0.041,0.5
"79","Drew Bledsoe",194,193,"98-95-0",3839,6717,57.2,44611,251,3.7,206,3.1,86,6.6,6,11.6,230,77.1,467,3135,5.77,5.18,6.5,24,31,0,123,39,-179,0,532,979,46,34,7373,0,0,54.3,194,193,"1993","1","1","NWE",84,0.034729315628192,0.031,0.43298969072165
"80","Rick Mirer",80,68,"24-44-0",1088,2043,53.3,11969,50,2.4,76,3.7,60,5.9,4.7,11,149.6,63.5,199,1038,4.88,3.8,8.9,8,9,0,35,10,-27,0,377,698,41,23,5997,0,0,54,80,68,"1993","1","2","SEA",25,0.0329512893982808,0.037,0.3125
"81","David Klingler",33,24,"36636",389,718,54.2,3994,16,2.2,22,3.1,83,5.6,4.6,10.3,121,65.1,87,539,4.29,3.46,10.8,1,1,0,19,5,-15,0,726,1261,91,38,9430,0,0,57.6,33,24,"1992","1","6","CIN",14,0.0301348136399683,0.031,0.424242424242424
